postcodeLeerlingen,schoolNaam,aantalLeerlingen
5232,Christelijke Basisschool De Cirkel,2
5233,Christelijke Basisschool De Cirkel,43
5235,Christelijke Basisschool De Cirkel,3
5252,Christelijke Basisschool De Cirkel,1
3514,ATO basisschool L W Beekman,1
5211,ATO basisschool L W Beekman,166
5212,ATO basisschool L W Beekman,129
5213,ATO basisschool L W Beekman,5
5215,ATO basisschool L W Beekman,1
5216,ATO basisschool L W Beekman,3
5222,ATO basisschool L W Beekman,2
5223,ATO basisschool L W Beekman,44
5224,ATO basisschool L W Beekman,5
5231,ATO basisschool L W Beekman,11
5246,ATO basisschool L W Beekman,3
5247,ATO basisschool L W Beekman,2
5261,ATO basisschool L W Beekman,8
5262,ATO basisschool L W Beekman,1
5263,ATO basisschool L W Beekman,5
5331,ATO basisschool L W Beekman,2
5211,ATO basisschool De Vlieger,1
5213,ATO basisschool De Vlieger,81
5215,ATO basisschool De Vlieger,6
5216,ATO basisschool De Vlieger,3
5231,ATO basisschool De Vlieger,2
5242,ATO basisschool De Vlieger,1
5243,ATO basisschool De Vlieger,1
5245,ATO basisschool De Vlieger,2
5246,ATO basisschool De Vlieger,228
5344,ATO basisschool De Vlieger,1
5212,ATO basisschool Noorderlicht,2
5216,ATO basisschool Noorderlicht,1
5223,ATO basisschool Noorderlicht,2
5224,ATO basisschool Noorderlicht,1
5231,ATO basisschool Noorderlicht,69
5232,ATO basisschool Noorderlicht,3
5233,ATO basisschool Noorderlicht,205
5235,ATO basisschool Noorderlicht,10
5237,ATO basisschool Noorderlicht,2
5245,ATO basisschool Noorderlicht,2
5247,ATO basisschool Noorderlicht,3
5262,ATO basisschool Noorderlicht,2
5231,ATO basisschool De Hobbit,1
5233,ATO basisschool De Hobbit,1
5237,ATO basisschool De Hobbit,2
5241,ATO basisschool De Hobbit,3
5242,ATO basisschool De Hobbit,1
5243,ATO basisschool De Hobbit,9
5244,ATO basisschool De Hobbit,1
5245,ATO basisschool De Hobbit,26
5247,ATO basisschool De Hobbit,252
5212,ATO basisschool 't Mozaiek,1
5221,ATO basisschool 't Mozaiek,1
5223,ATO basisschool 't Mozaiek,5
5224,ATO basisschool 't Mozaiek,205
5231,ATO basisschool 't Mozaiek,1
5231,ATO basisschool Madelief,7
5233,ATO basisschool Madelief,1
5234,ATO basisschool Madelief,3
5235,ATO basisschool Madelief,137
5236,ATO basisschool Madelief,1
5237,ATO basisschool Madelief,94
5247,ATO basisschool Madelief,3
5397,ATO basisschool Madelief,1
5213,ATO basisschool De Kruisstraat,1
5215,ATO basisschool De Kruisstraat,2
5221,ATO basisschool De Kruisstraat,1
5231,ATO basisschool De Kruisstraat,7
5233,ATO basisschool De Kruisstraat,4
5235,ATO basisschool De Kruisstraat,206
5237,ATO basisschool De Kruisstraat,4
5241,ATO basisschool De Kruisstraat,2
5243,ATO basisschool De Kruisstraat,12
5244,ATO basisschool De Kruisstraat,1
5245,ATO basisschool De Kruisstraat,2
5247,ATO basisschool De Kruisstraat,6
5248,ATO basisschool De Kruisstraat,1
5249,ATO basisschool De Kruisstraat,30
5256,ATO basisschool De Kruisstraat,1
